Date,Optimized_Total_Cost
2023-06-01,410.70015231176814
2023-06-02,410.70015231176814
2023-06-03,410.70015231176814
2023-06-04,410.70015231176814
2023-06-05,410.70015231176814
2023-06-06,410.70015231176814
2023-06-07,410.70015231176814
2023-06-08,410.70015231176814
2023-06-09,410.70015231176814
2023-06-10,410.70015231176814
2023-06-11,410.70015231176814
2023-06-12,410.70015231176814
2023-06-13,410.70015231176814
2023-06-14,410.70015231176814
2023-06-15,410.70015231176814
2023-06-16,410.70015231176814
2023-06-17,410.70015231176814
2023-06-18,410.70015231176814
2023-06-19,410.70015231176814
2023-06-20,410.70015231176814
2023-06-21,410.70015231176814
2023-06-22,410.70015231176814
2023-06-23,410.70015231176814
2023-06-24,410.70015231176814
2023-06-25,410.70015231176814
2023-06-26,410.70015231176814
2023-06-27,410.70015231176814
2023-06-28,410.70015231176814
2023-06-29,410.70015231176814
2023-06-30,410.70015231176814
