Time,Real Values,Forecasting Values
2023-06-01 00:00:00,15.673982211261064,-0.3125811099948681
2023-06-01 01:00:00,12.896771097620205,17.238105914311323
2023-06-01 02:00:00,11.079189180916849,15.046148340838233
2023-06-01 03:00:00,11.916787352095414,11.387976452841537
2023-06-01 04:00:00,8.612209696794801,13.203605687906496
2023-06-01 05:00:00,13.65613177251795,8.709255380507761
2023-06-01 06:00:00,15.135855172497479,13.166370092008236
2023-06-01 07:00:00,15.819409653426534,17.647125045791864
2023-06-01 08:00:00,22.070609805590507,16.9953958280329
2023-06-01 09:00:00,15.756559027944009,23.79312116526914
2023-06-01 10:00:00,8.040925476304801,16.93799458431791
2023-06-01 11:00:00,18.708370118494138,8.073946081081568
2023-06-01 12:00:00,20.34889448256094,20.390095435045552
2023-06-01 13:00:00,18.51136520900298,22.49070015027395
2023-06-01 14:00:00,16.048142471031387,19.809998684825825
2023-06-01 15:00:00,22.34460257159429,17.25927816884805
2023-06-01 16:00:00,14.322186960206878,24.48476475977965
2023-06-01 17:00:00,22.040451361294476,15.310997359821162
2023-06-01 18:00:00,11.932358826877715,24.12794816540861
2023-06-01 19:00:00,14.634895904301526,12.566831387369124
2023-06-01 20:00:00,20.062337155516985,15.622972788382345
2023-06-01 21:00:00,11.713118760888218,21.882279816934446
2023-06-01 22:00:00,24.30101213200859,12.335413609475907
2023-06-01 23:00:00,11.577485872458418,26.65368357800888
2023-06-02 00:00:00,7.2213147924447165,6.958799360672753
2023-06-02 01:00:00,13.055369362809273,7.401825314861483
2023-06-02 02:00:00,3.10996242735953,15.244567988641297
2023-06-02 03:00:00,14.371846952107898,2.4775699470115153
2023-06-02 04:00:00,13.75956980183239,16.128068182921638
2023-06-02 05:00:00,16.097466132036576,14.512634141121067
2023-06-02 06:00:00,2.901352095671696,15.699099853142712
2023-06-02 07:00:00,1.0,2.574389885242313
2023-06-02 08:00:00,1.680390424321498,0.13758515073402489
2023-06-02 09:00:00,4.136133575619246,0.8876222103706752
2023-06-02 10:00:00,18.536838098091224,3.7086747656401142
2023-06-02 11:00:00,22.73278672500833,19.91891473354611
2023-06-02 12:00:00,8.871539337231615,24.99121616898594
2023-06-02 13:00:00,6.834621699877487,9.24123377933971
2023-06-02 14:00:00,4.819468564019836,6.683300235916609
2023-06-02 15:00:00,13.19500295409242,4.483460586327285
2023-06-02 16:00:00,22.81283205565691,14.049446681199882
2023-06-02 17:00:00,16.556272513606363,24.980757414417457
2023-06-02 18:00:00,9.634442498473884,17.87537384923377
2023-06-02 19:00:00,9.498731865449995,9.954154670269254
2023-06-02 20:00:00,7.340031570486646,9.789088761256231
2023-06-02 21:00:00,1.0,7.371737312658887
2023-06-02 22:00:00,1.0,0.13850314419425747
2023-06-02 23:00:00,1.0,0.13796131831755232
2023-06-03 00:00:00,4.257066666640171,0.035613708601726524
2023-06-03 01:00:00,1.0,3.070241073356107
2023-06-03 02:00:00,1.0,0.030313238208544036
2023-06-03 03:00:00,1.0,0.08613155851545429
2023-06-03 04:00:00,8.691963729845124,-0.059726876155914765
2023-06-03 05:00:00,1.0,7.9099136604577005
2023-06-03 06:00:00,3.555811878503694,0.015347467370605772
2023-06-03 07:00:00,1.0,2.5890125924863434
2023-06-03 08:00:00,13.073356298418656,0.020568340316424738
2023-06-03 09:00:00,1.0,12.14570832120149
2023-06-03 10:00:00,4.656139070871236,0.0002574779848887321
2023-06-03 11:00:00,1.0,3.7593849447825347
2023-06-03 12:00:00,1.0,0.00915174609272329
2023-06-03 13:00:00,2.63237189335431,0.010224757684982766
2023-06-03 14:00:00,3.012066381164491,1.6604088409355269
2023-06-03 15:00:00,2.8084751073422334,2.0398395131139506
2023-06-03 16:00:00,2.2358259808970393,1.8423038722113847
2023-06-03 17:00:00,1.0,1.2636265872310934
2023-06-03 18:00:00,1.0,0.009102403399693149
2023-06-03 19:00:00,1.3344166933942636,0.011017763176835338
2023-06-03 20:00:00,2.5476265564776477,0.34901019724035964
2023-06-03 21:00:00,1.0,1.5755463526896474
2023-06-03 22:00:00,6.558991476160702,0.011119154819425825
2023-06-03 23:00:00,1.7994743285338148,5.628537874354418
2023-06-04 00:00:00,2.583088861965596,0.2825344589367558
2023-06-04 01:00:00,1.0,1.6067393829021004
2023-06-04 02:00:00,1.0,0.11684902612082837
2023-06-04 03:00:00,2.24337200232759,0.015470401736485062
2023-06-04 04:00:00,11.985976334088845,1.3342691454965467
2023-06-04 05:00:00,13.169024732661503,12.758564569931032
2023-06-04 06:00:00,8.59696137975369,11.047091361072583
2023-06-04 07:00:00,21.433694298443026,8.501612051538382
2023-06-04 08:00:00,12.242080506829168,21.522813366369345
2023-06-04 09:00:00,20.497459438754998,11.661855013621793
2023-06-04 10:00:00,11.252589965243857,20.49566368087979
2023-06-04 11:00:00,18.196741530146323,10.707927184552481
2023-06-04 12:00:00,12.449697922915657,17.761888311236817
2023-06-04 13:00:00,13.432018940227952,12.258313716067084
2023-06-04 14:00:00,5.628555598310336,12.900450166376821
2023-06-04 15:00:00,18.896237999603894,4.867101893300914
2023-06-04 16:00:00,17.913826846305373,18.74517161378414
2023-06-04 17:00:00,19.42757801387847,17.68456817238607
2023-06-04 18:00:00,16.847730300191643,19.299087091306827
2023-06-04 19:00:00,11.003648767542476,16.612035869004835
2023-06-04 20:00:00,22.900358020819752,10.44977919349082
2023-06-04 21:00:00,23.48405435767893,22.93306776027548
2023-06-04 22:00:00,3.7890923736660436,23.518275045341817
2023-06-04 23:00:00,11.350100240801538,2.954487599249066
