,name,description,short_name,id
1527,Precio medio mensual componente RD-L 10/2022 restricciones técnicas y mercados de balance comercialización de referencia,<p>Precio medio mensual componente RD-L 10/2022 restricciones técnicas y mercados de balance comercialización de referencia</p>,Precio medio mensual componente RD-L 10/2022 restricciones técnicas y mercados de balance comercialización de referencia,1912
1528,Precio medio mensual componente RD-L 10/2022 mercado diario e intradiario - diferencia por liquidación con medidas,"<p>Precio medio mensual componente RD-L 10/2022 mercado diario e intradiario - diferencia por liquidaci&oacute;n con medidas</p>
",Precio medio mensual componente RD-L 10/2022 MD y MI - diferencia por liq. con medidas,1913
1529,Precio medio mensual componente RD-L 10/2022 mercado diario e intradiario - diferencia por liquidación con medidas contratación libre,<p>Precio medio mensual componente RD-L 10/2022 mercado diario e intradiario - diferencia por liquidación con medidas contratación libre</p>,Precio medio mensual componente RD-L 10/2022 mercado diario e intradiario - diferencia por liquidación con medidas contratación libre,1914
1530,Precio medio mensual componente RD-L 10/2022 mercado diario e intradiario - diferencia por liquidación con medidas comercialización de referencia,<p>Precio medio mensual componente RD-L 10/2022 mercado diario e intradiario - diferencia por liquidación con medidas comercialización de referencia</p>,Precio medio mensual componente RD-L 10/2022 mercado diario e intradiario - diferencia por liquidación con medidas comercialización de referencia,1915
1531,Precio medio mensual componente RD-L 10/2022 mercado diario e intradiario,<p>Precio medio mensual componente RD-L 10/2022 mercado diario e intradiario</p>,Precio medio mensual componente RD-L 10/2022 mercado diario e intradiario,1916
1532,Precio medio mensual componente RD-L 10/2022 mercado diario e intradiario contratación libre,<p>Precio medio mensual componente RD-L 10/2022 mercado diario e intradiario contratación libre</p>,Precio medio mensual componente RD-L 10/2022 mercado diario e intradiario contratación libre,1917
1533,Precio medio mensual componente RD-L 10/2022 mercado diario e intradiario comercialización de referencia,<p>Precio medio mensual componente RD-L 10/2022 mercado diario e intradiario comercialización de referencia</p>,Precio medio mensual componente RD-L 10/2022 mercado diario e intradiario comercialización de referencia,1918
1534,Precio medio anual componente RD-L 10/2022 restricciones técnicas y mercados de balance,"<p>Precio medio anual componente RD-L 10/2022 restricciones t&eacute;cnicas y mercados de balance</p>
",Precio medio anual componente RD-L 10/2022 restricciones técnicas y mercados de balance,1919
1535,Precio medio anual componente RD-L 10/2022 restricciones técnicas y mercados de balance contratación libre,<p>Precio medio anual componente RD-L 10/2022 restricciones técnicas y mercados de balance contratación libre</p>,Precio medio anual componente RD-L 10/2022 restricciones técnicas y mercados de balance contratación libre,1920
1536,Precio medio anual componente RD-L 10/2022 restricciones técnicas y mercados de balance comercialización de referencia,<p>Precio medio anual componente RD-L 10/2022 restricciones técnicas y mercados de balance comercialización de referencia</p>,Precio medio anual componente RD-L 10/2022 restricciones técnicas y mercados de balance comercialización de referencia,1921
1537,Precio medio anual componente RD-L 10/2022 mercado diario e intradiario - diferencia por liquidación con medidas,"<p>Precio medio anual componente RD-L 10/2022 mercado diario e intradiario - diferencia por liquidaci&oacute;n con medidas</p>
",Precio medio anual componente RD-L 10/2022 MD y MI intradiario - diferencia por liq. con medidas,1922
1538,Precio medio anual componente RD-L 10/2022 mercado diario e intradiario - diferencia por liquidación con medidas contratación libre,<p>Precio medio anual componente RD-L 10/2022 mercado diario e intradiario - diferencia por liquidación con medidas contratación libre</p>,Precio medio anual componente RD-L 10/2022 mercado diario e intradiario - diferencia por liquidación con medidas contratación libre,1923
1539,Precio medio anual componente RD-L 10/2022 mercado diario e intradiario - diferencia por liquidación con medidas comercialización de referencia,<p>Precio medio anual componente RD-L 10/2022 mercado diario e intradiario - diferencia por liquidación con medidas comercialización de referencia</p>,Precio medio anual componente RD-L 10/2022 mercado diario e intradiario - diferencia por liquidación con medidas comercialización de referencia,1924
1540,Precio medio anual componente RD-L 10/2022 mercado diario e intradiario,<p>Precio medio anual componente RD-L 10/2022 mercado diario e intradiario</p>,Precio medio anual componente RD-L 10/2022 mercado diario e intradiario,1925
1541,Precio medio anual componente RD-L 10/2022 mercado diario e intradiario contratación libre,<p>Precio medio anual componente RD-L 10/2022 mercado diario e intradiario contratación libre</p>,Precio medio anual componente RD-L 10/2022 mercado diario e intradiario contratación libre,1926
1542,Precio medio anual componente RD-L 10/2022 mercado diario e intradiario comercialización de referencia,<p>Precio medio anual componente RD-L 10/2022 mercado diario e intradiario comercialización de referencia</p>,Precio medio anual componente RD-L 10/2022 mercado diario e intradiario comercialización de referencia,1927
1545,Precio marginal en el servicio de respuesta activa de la demanda,<p>Es un servicio específico de balance del sistema eléctrico peninsular español que tiene por objeto hacer frente a situaciones de escasez de reserva de balance a subir mediante la obtención de recursos adicionales a los ya disponibles mediante la utilización de los servicios estándar de balance europeos. </p><p>Este servicio se encuentra regulado en el P.O. 7.5 </p><p>En concreto este indicador se refiere al precio marginal asignado a la activación del servicio de respuesta activa de la demanda. </p><p><b>Publicación:</b> diariamente a las 7:45 con la información del día anterior y a partir de las 19:30 para días pasados según el calendario de liquidaciones. </p>,Precio marginal en el servicio de respuesta activa de la demanda,1930
1548,Precio de producto del combustible diesel oil para despacho de los TNP,"<p>Precio&nbsp;de producto del combustible diesel oil.</p>

<p><b>Publicaci&oacute;n:</b> mensualmente con los datos del mes M.</p>
",Precio de producto del combustible diesel oil para despacho de los TNP,1933
1549,Precio de producto del combustible fuel 0.3% para despacho de los TNP,"<p>Precio&nbsp;de producto del combustible fuel 0.3%.</p>

<p><b>Publicaci&oacute;n:</b> mensualmente con los datos del mes M.</p>
",Precio de producto del combustible fuel 0.3% para despacho de los TNP,1934
1550,Precio de producto del combustible fuel 0.73% para despacho de los TNP,"<p>Precio&nbsp;de producto del combustible fuel 0.73%.</p>

<p><b>Publicaci&oacute;n:</b> mensualmente con los datos del mes M.</p>
",Precio de producto del combustible fuel 0.73% para despacho de los TNP,1935
1551,Precio de producto combustible carbón Baleares,"<p>Precio de producto del combustible carbón.</p>
<p><b>Publicación:</b> mensualmente con los datos del mes M.</p>
",Precio combustible carbón Baleares,1936
1552,Precios de producto del combustible gasoleo para despacho de los TNP,<p> Precios de producto del combustible gasóleo.</p><p><b>Publicación:</b> mensualmente con los datos del mes M.</p>,Precios de producto del combustible gasoleo para despacho de los TNP,1938
1553,Precios de producto del combustible fuel 1% para despacho de los TNP,<p> Precios de producto del combustible fuel 1%.</p><p><b>Publicación:</b> mensualmente con los datos del mes M.</p>,Precios de producto del combustible fuel 1% para despacho de los TNP,1939
1554,Precio de producto del combustible Gas Natural para despacho de los TNP,"<p>Precio&nbsp;de producto del combustible Gas Natural.</p>

<p><b>Publicaci&oacute;n:</b> mensualmente con los datos del mes M.</p>
",Precio de producto del combustible Gas Natural para despacho de los TNP,1940
1793,Precio medio horario final suma de componentes,"<p>Cumpliendo con lo especificado en la disposición adicional quinta de la Orden ITC/1659/2009, en este apartado se publica el coste final de la energía, así como los componentes del precio final, en agregado y para cada tipo de consumidor.</p><p>El desglose de este indicador detalla los componentes del precio medio ponderado horario de la energía para todos los tipos de consumidores.</p><p><b>Publicación:</b> diariamente a partir de las 19:30 horas se publica el avance para todos los días del mes en curso. El cierre C2 del mes M-1 en los diez primeros días del mes y el resto de cierres dos días después de su fecha de facturación según el calendario de liquidaciones.</p>",Precio medio horario final suma,10211
1794,Precio medio horario final comercializadores de referencia suma de componentes,"<p>Cumpliendo con lo especificado en la disposición adicional quinta de la Orden ITC/1659/2009, en este apartado se publica el coste final de la energía, así como los componentes del precio final, en agregado y para cada tipo de consumidor.</p><p>El desglose de este indicador detalla los componentes del precio medio ponderado horario de la energía para el tipo de consumidor comercializadores de referencia.</p><p><b>Publicación:</b> diariamente a partir de las 19:30 horas se publica el avance para todos los días del mes en curso. El cierre C2 del mes M-1 en los diez primeros días del mes y el resto de cierres dos días después de su fecha de facturación según el calendario de liquidaciones.</p>",Precio medio horario final com. ref. suma,10212
1795,Precio medio anual final contratación libre suma de componentes,"<p>Cumpliendo con lo especificado en la disposición adicional quinta de la Orden ITC/1659/2009, en este apartado se publica el coste final de la energía, así como los componentes del precio final, en agregado y para cada tipo de consumidor.</p><p>El desglose de este indicador detalla las componentes del precio medio ponderado anual de la energía para todos el tipo de consumidor de contratación libre.</p><p><b>Publicación:</b> diariamente a partir de las 19:30 horas se publica el avance para todos los días del mes en curso. El cierre C2 del mes M-1 en los diez primeros días del mes y el resto de cierres dos días después de su fecha de facturación según el calendario de liquidaciones.</p>",Precio medio anual final c.libre suma,10213
1796,Precio medio horario final contratación libre suma de componentes,"<p>Cumpliendo con lo especificado en la disposición adicional quinta de la Orden ITC/1659/2009, en este apartado se publica el coste final de la energía, así como los componentes del precio final, en agregado y para cada tipo de consumidor.</p><p>El desglose de este indicador detalla los componentes del precio medio ponderado horario de la energía para el tipo de consumidor de contratación libre.</p><p><b>Publicación:</b> diariamente a partir de las 19:30 horas se publica el avance para todos los días del mes en curso. El cierre C2 del mes M-1 en los diez primeros días del mes y el resto de cierres dos días después de su fecha de facturación según el calendario de liquidaciones.</p>",Precio medio horario final c.libre suma,10214
1797,Precio medio anual final comercialización de referencia suma de componentes,"<p>Cumpliendo con lo especificado en la disposición adicional quinta de la Orden ITC/1659/2009, en este apartado se publica el coste final de la energía, así como los componentes del precio final, en agregado y para cada tipo de consumidor.</p><p>El desglose de este indicador detalla todos los componentes que componen el precio medio ponderado anual de la energía para todos el tipo de consumidor comercializadores de referencia.</p><p><b>Publicación:</b> diariamente a partir de las 19:30 horas se publica el avance para todos los días del mes en curso. El cierre C2 del mes M-1 en los diez primeros días del mes y el resto de cierres dos días después de su fecha de facturación según el calendario de liquidaciones.</p>",Precio medio anual final com.ref. suma,10215
