Date,Total Cost,Time,energy_cost
2023-06-01,410.70015231176814,2023-06-01,156.80598717161624
2023-06-01,410.70015231176814,2023-06-01,156.80598717161624
2023-06-01,410.70015231176814,2023-06-01,156.80598717161624
2023-06-01,410.70015231176814,2023-06-01,156.80598717161624
2023-06-01,410.70015231176814,2023-06-01,156.80598717161624
2023-06-01,410.70015231176814,2023-06-01,156.80598717161624
2023-06-01,410.70015231176814,2023-06-01,156.80598717161624
2023-06-01,410.70015231176814,2023-06-01,156.80598717161624
2023-06-01,410.70015231176814,2023-06-01,156.80598717161624
2023-06-01,410.70015231176814,2023-06-01,156.80598717161624
2023-06-01,410.70015231176814,2023-06-01,156.80598717161624
2023-06-01,410.70015231176814,2023-06-01,156.80598717161624
2023-06-01,410.70015231176814,2023-06-01,156.80598717161624
2023-06-01,410.70015231176814,2023-06-01,156.80598717161624
2023-06-01,410.70015231176814,2023-06-01,156.80598717161624
2023-06-01,410.70015231176814,2023-06-01,156.80598717161624
2023-06-01,410.70015231176814,2023-06-01,156.80598717161624
2023-06-01,410.70015231176814,2023-06-01,156.80598717161624
2023-06-01,410.70015231176814,2023-06-01,156.80598717161624
2023-06-01,410.70015231176814,2023-06-01,156.80598717161624
2023-06-01,410.70015231176814,2023-06-01,156.80598717161624
2023-06-01,410.70015231176814,2023-06-01,156.80598717161624
2023-06-01,410.70015231176814,2023-06-01,156.80598717161624
2023-06-01,410.70015231176814,2023-06-01,156.80598717161624
2023-06-02,410.70015231176814,2023-06-02,73.2175541625
2023-06-02,410.70015231176814,2023-06-02,73.2175541625
2023-06-02,410.70015231176814,2023-06-02,73.2175541625
2023-06-02,410.70015231176814,2023-06-02,73.2175541625
2023-06-02,410.70015231176814,2023-06-02,73.2175541625
2023-06-02,410.70015231176814,2023-06-02,73.2175541625
